id,linha_original,fonte,disciplina,hierarquia_codigo,nivel_profundidade,assunto_nivel_1,assunto_nivel_2,assunto_nivel_3,assunto_nivel_4,assunto_especifico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno,ano,banca,cargo,split
47573e10335a153b,0,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),,0,,,,,Direito Administrativo (Doutrina e Leis Federais),22854,34.23,22854,34.23,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
a51f6e86caa514cb,1,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),01,1,"Origem, Conceito e Fontes do Direito Administrativo",,,,"Origem, Conceito e Fontes do Direito Administrativo",186,0.28,186,0.28,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
5c467f73b6db2e7a,2,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),02,1,Regime Jurídico Administrativo,,,,Regime Jurídico Administrativo,734,1.1,734,1.1,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
8f4cc9f1afba211e,6,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),03,1,Atos Administrativos,,,,Atos Administrativos,1660,2.49,1660,2.49,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
f68f911730c3d6a1,16,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),04,1,Poderes e Deveres da Administração,,,,Poderes e Deveres da Administração,1063,1.59,1063,1.59,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
e19f0f16f234a553,25,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),05,1,Organização Administrativa,,,,Organização Administrativa,2169,3.25,2169,3.25,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
7af81662fae61216,37,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),06,1,Responsabilidade Civil do Estado,,,,Responsabilidade Civil do Estado,776,1.16,776,1.16,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
4ae389eb56b644ca,46,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),07,1,Serviços Públicos,,,,Serviços Públicos,1433,2.15,1433,2.15,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
2f375db4441a031b,65,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),08,1,Controle da Administração,,,,Controle da Administração,1016,1.52,1016,1.52,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
89b0bd903a150559,83,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),09,1,Domínio Público,,,,Domínio Público,326,0.49,326,0.49,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
4da19564736f86b3,94,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),10,1,Agentes Públicos,,,,Agentes Públicos,2919,4.37,2919,4.37,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
3c67b8535a05d821,129,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),11,1,Improbidade Administrativa (Lei nº 8.429/1992),,,,Improbidade Administrativa (Lei nº 8.429/1992),1209,1.81,1209,1.81,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
5a89af8cb6f1c613,138,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),12,1,Processo Administrativo,,,,Processo Administrativo,944,1.41,944,1.41,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
a4036f7e7e583601,153,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),13,1,Licitações e Contratos Administrativos (Lei nº 14.133/2021),,,,Licitações e Contratos Administrativos (Lei nº 14.133/2021),5653,8.47,5653,8.47,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
598a7c50d74d0ac4,189,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),14,1,Pregão,,,,Pregão,107,0.16,107,0.16,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
7d66cadd1e53c068,192,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),15,1,Legislação Esparsa sobre Licitações,,,,Legislação Esparsa sobre Licitações,736,1.1,736,1.1,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
2336fbc4c7e40c3b,221,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),16,1,Intervenção do Estado na Propriedade Privada,,,,Intervenção do Estado na Propriedade Privada,508,0.76,508,0.76,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
ae02ebc3ef69b0df,229,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),17,1,Prescrição e Coisa Julgada Administrativa,,,,Prescrição e Coisa Julgada Administrativa,37,0.06,37,0.06,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
8dda0f47f50caf0d,230,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),18,1,Acesso à Informação,,,,Acesso à Informação,485,0.73,485,0.73,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
369feec3d89c740e,240,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),19,1,Jurisprudência dos Tribunais Superiores em Matéria Administrativa,,,,Jurisprudência dos Tribunais Superiores em Matéria Administrativa,892,1.34,892,1.34,2026,CESPE/Cebraspe,Concursos Públicos (Geral),test
aa1d3cb137a2b374,262,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),20,1,Sem Classificação,,,,Sem Classificação,1,0.0,1,0.0,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
c13c22529199e36a,3,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),02.01,2,Regime Jurídico Administrativo,Regime Jurídico da Administração e Regime Jurídico Administrativo,,,Regime Jurídico da Administração e Regime Jurídico Administrativo,64,0.1,64,0.1,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
e38e58fe0252292b,4,adm_detalhado,Direito Administrativo (Doutrina e Leis Federais),02.02,2,Regime Jurídico Administrativo,"Princípios Expressos, Explícitos ou Constitucionais",,,"Princípios Expressos, Explícitos ou Constitucionais",444,0.67,444,0.67,2026,CESPE/Cebraspe,Concursos Públicos (Geral),train
